;pmid;lead_time;is_web_direct;checkin_date_index;stay_length;booking_status;nb_adults;child_presence;eligible_to_earn_points;points;stay_catotal_eur;hotel_brand;hotel_brand_positionning;hotel_rooms;hotel_sales_organisation;hotel_class;hotel_location_type;hotel_continent;hotel_euro_market;environment_type;declared_stay_type;is_all_member;type_member;is_member_ibis_business;is_member_business_plus;is_member_accor_plus;is_meeting_planner;booking_date_year;booking_date_month;booking_date_day_name;booking_date_is_weekend;checkin_date_year;checkin_date_month;checkin_date_day_name;checkin_date_is_weekend;checkout_date_year;checkout_date_month;checkout_date_day_name;checkout_date_is_weekend;gap_bkg_stay_nights
9523;2500;6.0;1;7;1;A;2.0;0;1;244;214.0;IBIS STYLES;Economy;96;Southern Europe;A;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Classic;0;0;0;0;2022.0;9.0;Monday;0;2022;2;Thursday;0;2022;3;Thursday;0;0.0
9524;2500;36.0;1;7;1;A;1.0;0;1;107;94.05;IBIS STYLES;Economy;49;Southern Europe;A;Prime Location;EUROPE;FRANCE;None;business;1;ALL Classic;0;0;0;0;2021.0;10.0;Saturday;1;2021;5;Wednesday;0;2021;6;Saturday;1;0.0
9525;2500;34.0;1;5;3;A;2.0;0;1;395;347.32;IBIS STYLES;Economy;49;Southern Europe;A;Prime Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2021.0;10.0;Saturday;1;2021;3;Friday;0;2021;6;Saturday;1;0.0
9526;2501;40.0;1;6;2;A;2.0;0;1;189;162.0;IBIS STYLES;Economy;120;Northern Europe;G;Prime Location;EUROPE;GERMANY;TOWN;leisure;1;ALL Classic;0;0;0;0;2022.0;11.0;Monday;0;2022;8;Saturday;1;2022;8;Monday;0;0.0
9527;2502;2.0;1;4;4;A;2.0;0;1;635;558.6;IBIS HOTELS;Economy;100;Southern Europe;G;Prime Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2022.0;8.0;Tuesday;0;2022;8;Thursday;0;2022;8;Monday;0;0.0
9528;2502;1.0;1;1;3;A;2.0;0;1;513;454.25;IBIS STYLES;Economy;80;Southern Europe;H;Second Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Classic;0;0;0;0;2022.0;8.0;Sunday;1;2022;8;Monday;0;2022;8;Thursday;0;0.0
9529;2503;297.0;1;6;1;M;4.0;0;1;218;209.5;IBIS HOTELS;Economy;87;Northern Europe;F;Other Location and Suburbs;EUROPE;UK&IE;None;leisure;1;ALL Classic;0;0;0;0;2021.0;9.0;Wednesday;0;2022;7;Saturday;1;2022;7;Sunday;1;0.0
9530;2504;0.0;0;7;1;A;2.0;0;1;234;103.0;MERCURE;Midscale;58;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2022.0;7.0;Sunday;1;2022;7;Sunday;1;2022;7;Monday;0;0.0
9531;2505;25.0;1;4;1;A;2.0;0;1;95;90.66;IBIS HOTELS;Economy;162;Northern Europe;A;Prime Location;EUROPE;UK&IE;AIRPORT;leisure;1;ALL Classic;0;0;0;0;2022.0;5.0;Sunday;1;2022;9;Tuesday;0;2022;10;Thursday;0;0.0
9532;2506;12.0;1;3;1;A;1.0;0;1;79;79.03;MANTRA;Midscale;136;Pacific;B;Second Location;PACIFIC;PACIFIC;None;business;1;ALL Gold;0;0;0;0;2022.0;6.0;Sunday;1;2022;5;Wednesday;0;2022;5;Thursday;0;0.0
9538;2506;36.0;1;5;4;A;2.0;0;1;588;551.48;MANTRA;Midscale;85;Pacific;G;Prime Location;PACIFIC;PACIFIC;None;business;1;ALL Gold;0;0;0;0;2022.0;10.0;Sunday;1;2022;3;Friday;0;2022;3;Tuesday;0;0.0
9539;2506;1.0;1;5;4;A;2.0;0;1;985;990.26;MANTRA;Midscale;85;Pacific;G;Prime Location;PACIFIC;PACIFIC;None;leisure;1;ALL Gold;0;0;0;0;2022.0;1.0;Thursday;0;2022;1;Friday;0;2022;1;Tuesday;0;0.0
9540;2506;4.0;1;6;2;A;2.0;0;1;479;191.56;NOVOTEL;Midscale;255;Pacific;A;Prime Location;PACIFIC;PACIFIC;TOWN;leisure;1;ALL Gold;0;0;0;0;2022.0;8.0;Tuesday;0;2022;12;Friday;0;2022;2;Monday;0;0.0
9542;2506;4.0;1;4;1;A;2.0;0;1;362;0.0;MERCURE;Midscale;517;Pacific;A;Prime Location;PACIFIC;PACIFIC;TOWN;business;1;ALL Gold;0;0;0;0;2022.0;3.0;Sunday;1;2022;3;Thursday;0;2022;1;Tuesday;0;0.0
9544;2506;1.0;1;6;1;A;2.0;0;1;93;0.0;IBIS HOTELS;Economy;105;Pacific;C;Other Location and Suburbs;PACIFIC;PACIFIC;None;leisure;1;ALL Gold;0;0;0;0;2022.0;2.0;Friday;0;2022;2;Saturday;1;2022;2;Sunday;1;0.0
9545;2506;1.0;1;2;1;A;1.0;0;1;26;0.0;IBIS BUDGET;Economy;105;Pacific;B;Second Location;PACIFIC;PACIFIC;None;business;1;ALL Gold;0;0;0;0;2022.0;9.0;Monday;0;2022;10;Wednesday;0;2022;11;Saturday;1;0.0
9548;2507;46.0;1;1;1;M;2.0;0;1;97;85.5;IBIS STYLES;Economy;86;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Classic;0;0;0;0;2021.0;12.0;Wednesday;0;2021;9;Monday;0;2021;9;Tuesday;0;0.0
9550;2507;35.0;1;4;1;M;2.0;0;1;97;85.5;IBIS STYLES;Economy;86;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Classic;0;0;0;0;2021.0;12.0;Wednesday;0;2021;9;Thursday;0;2021;9;Friday;0;0.0
9551;2508;5.0;1;3;1;A;1.0;0;1;313;137.75;MERCURE;Midscale;125;Southern Europe;G;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2022.0;11.0;Thursday;0;2022;3;Wednesday;0;2022;3;Thursday;0;0.0
9552;2508;4.0;1;7;1;A;1.0;0;1;326;144.0;NOVOTEL;Midscale;121;Southern Europe;I;Other Location and Suburbs;EUROPE;FRANCE;None;business;1;ALL Silver;0;0;0;0;2021.0;2.0;Wednesday;0;2021;2;Sunday;1;2021;2;Monday;0;0.0
9553;2508;3.0;1;7;1;A;1.0;0;1;322;141.8;NOVOTEL;Midscale;121;Southern Europe;I;Other Location and Suburbs;EUROPE;FRANCE;None;business;1;ALL Silver;0;0;0;0;2021.0;3.0;Thursday;0;2021;3;Sunday;1;2021;3;Monday;0;-1.0
9554;2508;6.0;1;7;1;A;1.0;0;1;356;156.8;NOVOTEL;Midscale;121;Southern Europe;I;Other Location and Suburbs;EUROPE;FRANCE;None;business;1;ALL Silver;0;0;0;0;2021.0;4.0;Monday;0;2021;4;Sunday;1;2021;4;Monday;0;0.0
9555;2508;11.0;1;1;1;A;1.0;0;1;304;133.95;MERCURE;Midscale;125;Southern Europe;G;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Silver;0;0;0;0;2022.0;7.0;Thursday;0;2022;1;Saturday;1;2022;2;Tuesday;0;0.0
9556;2508;4.0;1;1;1;A;1.0;0;1;304;133.95;NOVOTEL;Midscale;121;Southern Europe;I;Other Location and Suburbs;EUROPE;FRANCE;None;business;1;ALL Silver;0;0;0;0;2021.0;6.0;Thursday;0;2021;6;Monday;0;2021;6;Tuesday;0;0.0
9557;2508;12.0;1;3;1;A;1.0;0;1;96;84.55;IBIS STYLES;Economy;70;Southern Europe;X;Unknown Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2022.0;11.0;Wednesday;0;2022;2;Wednesday;0;2022;2;Thursday;0;0.0
9558;2508;2.0;1;3;1;A;1.0;0;1;313;137.75;MERCURE;Midscale;125;Southern Europe;G;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2021.0;11.0;Monday;0;2021;11;Wednesday;0;2021;11;Thursday;0;0.0
9559;2509;5.0;1;5;2;A;2.0;0;1;172;152.6;IBIS HOTELS;Economy;95;Southern Europe;B;Second Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Classic;0;0;0;0;2022.0;6.0;Sunday;1;2022;1;Friday;0;2022;3;Monday;0;0.0
9560;2510;53.0;1;2;3;M;2.0;0;1;75;60.34;IBIS HOTELS;Economy;176;South America;H;Second Location;SOUTH AMERICA;SOUTH AMERICA;TOWN;leisure;1;ALL Classic;0;0;0;0;2021.0;8.0;Friday;0;2021;12;Friday;0;2021;10;Friday;0;0.0
9561;2510;21.0;1;2;2;M;3.0;0;1;105;0.0;IBIS HOTELS;Economy;391;South America;B;Second Location;SOUTH AMERICA;SOUTH AMERICA;AIRPORT;leisure;1;ALL Classic;0;0;0;0;2021.0;12.0;Tuesday;0;2022;11;Tuesday;0;2022;1;Thursday;0;0.0
9564;2512;34.0;1;7;2;A;2.0;0;1;662;264.76;NOVOTEL;Midscale;380;Pacific;A;Prime Location;PACIFIC;PACIFIC;TOWN;leisure;1;ALL Silver;0;0;0;0;2022.0;5.0;Monday;0;2022;6;Sunday;1;2022;6;Tuesday;0;0.0
9565;2513;37.0;1;2;1;A;2.0;0;1;108;93.06;IBIS STYLES;Economy;304;Southern Europe;B;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Silver;0;0;0;0;2022.0;2.0;Sunday;1;2022;3;Tuesday;0;2022;3;Wednesday;0;0.0
9567;2513;17.0;1;7;4;M;2.0;0;1;1023;450.3;NOVOTEL;Midscale;171;Southern Europe;D;Prime Location;EUROPE;REST OF EUROPE;TOWN;leisure;1;ALL Silver;0;0;0;0;2021.0;9.0;Thursday;0;2021;3;Wednesday;0;2021;7;Saturday;1;-4.0
9572;2514;0.0;0;3;2;A;1.0;0;1;190;152.07;IBIS HOTELS;Economy;187;IMEA;A;Prime Location;MIDDLE EAST;MIDDLE EAST;TOWN;leisure;1;ALL Gold;0;0;0;0;2022.0;1.0;Thursday;0;2022;1;Thursday;0;2022;3;Sunday;1;0.0
9606;2518;3.0;1;7;3;M;2.0;0;1;210;185.25;IBIS HOTELS;Economy;83;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2021.0;2.0;Friday;0;2021;5;Wednesday;0;2021;8;Thursday;0;0.0
9607;2518;45.0;1;3;3;M;2.0;0;1;173;151.2;IBIS HOTELS;Economy;164;Northern Europe;X;Unknown Location;EUROPE;REST OF EUROPE;None;leisure;1;ALL Classic;0;0;0;0;2022.0;3.0;Monday;0;2022;8;Wednesday;0;2022;8;Saturday;1;0.0
9608;2519;0.0;1;1;2;A;2.0;0;1;664;318.36;MERCURE;Midscale;169;Northern Europe;G;Prime Location;EUROPE;UK&IE;TOWN;leisure;1;ALL Classic;0;0;0;0;2022.0;10.0;Monday;0;2022;10;Monday;0;2022;2;Friday;0;0.0
9609;2520;9.0;1;7;1;M;2.0;0;1;88;77.71;IBIS HOTELS;Economy;84;Southern Europe;H;Second Location;EUROPE;FRANCE;MOUNTAIN;leisure;1;ALL Classic;0;0;0;0;2022.0;4.0;Sunday;1;2022;3;Sunday;1;2022;3;Monday;0;0.0
9610;2520;77.0;1;5;1;A;1.0;0;1;285;125.4;MERCURE;Midscale;196;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Classic;0;0;0;0;2022.0;5.0;Friday;0;2022;7;Friday;0;2022;7;Saturday;1;0.0
9615;2524;1.0;0;4;1;A;1.0;0;1;181;149.88;IBIS HOTELS;Economy;83;Northern Europe;G;Prime Location;EUROPE;REST OF EUROPE;TOWN;business;1;ALL Classic;0;0;0;0;2022.0;10.0;Wednesday;0;2022;10;Thursday;0;2022;10;Friday;0;0.0
9616;2525;13.0;0;1;2;M;1.0;0;1;549;241.5;MERCURE;Midscale;93;Southern Europe;I;Other Location and Suburbs;EUROPE;FRANCE;None;business;1;ALL Platinum;0;1;0;0;2021.0;11.0;Tuesday;0;2021;6;Saturday;1;2021;8;Thursday;0;0.0
